gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2981264456	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0165/M-0165935_20111214_111505.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0165/M-0165935_20111214_111505.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981263293	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171737_20111209_153037.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171737_20111209_153037.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981262325	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0166/M-0166075_20111215_083832.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0166/M-0166075_20111215_083832.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981260336	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171884_20111209_165420.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171884_20111209_165420.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981258215	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171736_20111209_153125.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171736_20111209_153125.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981257887	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0124/M-0124264_20071126_133155.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0124/M-0124264_20071126_133155.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981257569	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0166/M-0166077_20111215_084014.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0166/M-0166077_20111215_084014.html									http://creativecommons.org/licenses/by-sa/4.0/	
2884951515	StillImage	image/jpeg	https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0307/ASU0307303_lg.jpg											
2884946514	StillImage	image/jpeg	https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0306/ASU0306896_lg.jpg											
2884945527	StillImage	image/jpeg	https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0306/ASU0306762_lg.jpg											
2884933530	StillImage	image/jpeg	https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0306/ASU0306630_lg.jpg											
2884932515	StillImage	image/jpeg	https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0307/ASU0307315_lg.jpg											
2866748382	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-b5GzbeebRU6jHzzT7785zn/resize:4000/format:jpeg											
2866735387	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-EYYAWrvqKYK68FxCEP9JMb/resize:4000/format:jpeg											
2859498384	StillImage	image/jpeg	http://mam.ansp.org/image/CM/Fullsize/218/CM218609.jpg											
2859497378	StillImage	image/jpeg	http://mam.ansp.org/image/CM/Fullsize/218/CM218750.jpg											
2859494608	StillImage	image/jpeg	http://mam.ansp.org/image/CM/Fullsize/261/CM261496.jpg											
2859460837	StillImage	image/jpeg	http://mam.ansp.org/image/CM/Fullsize/287/CM287609.jpg											
2859460682	StillImage	image/jpeg	http://mam.ansp.org/image/CM/Fullsize/268/CM268375.jpg											
2859228643	StillImage	image/jpeg	http://mam.ansp.org/image/CM/Fullsize/260/CM260436.jpg											
2859206724	StillImage	image/jpeg	http://mam.ansp.org/image/CM/Fullsize/268/CM268374.jpg											
2859206653	StillImage	image/jpeg	http://mam.ansp.org/image/CM/Fullsize/260/CM260437.jpg											
2618307396	StillImage	image/jpeg	https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0307/ASU0307163_lg.jpg											
2610099229	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-fUZENPdaQeQaAGpGTc2tD4/resize:4000/format:jpeg											
2610098152	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-EnCCZUwrYyRdqVZpvA4Q66/resize:4000/format:jpeg											
2610093569	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-mt65aDjBBnpmNzEBXhDBLc/resize:4000/format:jpeg											
2610090991	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-86Quf4ySqm9SdZjYf9wXoV/resize:4000/format:jpeg											
2610086913	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-NRmg5iQvu6dDVax376zYLh/resize:4000/format:jpeg											
2610083853	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-rXXzUPtgXVeAYiuMUAwn7R/resize:4000/format:jpeg											
2610082888	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-asLuwtp5QCib9sKLRCkaF3/resize:4000/format:jpeg											
2610080625	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-4mmg87hLs4WUyuEysPrPGD/resize:4000/format:jpeg											
2610075609	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-VjUBxszzut6tqir2c3qiLN/resize:4000/format:jpeg											
2610074828	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-vQnFaCQKRr5MKwPcuCmerV/resize:4000/format:jpeg											
2610073904	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-WAH5wdAvPeipCcmGCbzT48/resize:4000/format:jpeg											
2610073891	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-JK7dXoxZKMPBmyYqcUBQWZ/resize:4000/format:jpeg											
2610073241	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-64xGcEqGRP6HLCdaKzaHr4/resize:4000/format:jpeg											
2610073179	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-QbdtWLUxMxvHb5j5rg37SH/resize:4000/format:jpeg											
2575160190	StillImage	image/jpeg	https://api.idigbio.org/v2/media/03fa2abca6aa81aae4a2c01e3d896c5c											
2575160188	StillImage	image/jpeg	https://api.idigbio.org/v2/media/8f43f05b39d4b561783540233e355adf											
2575160185	StillImage	image/jpeg	https://api.idigbio.org/v2/media/202274be723d2462bcd3667f481f7594											
2573422694	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013077.jpg											
2573422530	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012855.jpg											
2573422248	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013119.jpg											
2573422172	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012996.jpg											
2573422029	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014349.jpg											
2573421807	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014646.jpg											
2573421798	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012681.jpg											
2573421697	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013556.jpg											
2573421660	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014836.jpg											
2573421624	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011790.jpg											
2573421604	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012749.jpg											
2573421572	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013473.jpg											
2573421455	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014844.jpg											
2573421424	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012608.jpg											
2573421331	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013796.jpg											
2573421327	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012558.jpg											
2573421147	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011485.jpg											
2573421109	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011402.jpg											
2573421074	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011345.jpg											
2573421012	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014596.jpg											
2573420986	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012673.jpg											
2573420955	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013481.jpg											
2573420939	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014562.jpg											
2573420918	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013671.jpg											
2573420868	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012525.jpg											
2573420850	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013010.jpg											
2573420782	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014810.jpg											
2573420751	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012590.jpg											
2573420740	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013176.jpg											
2573420715	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013770.jpg											
2573420692	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013788.jpg											
2573420684	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013192.jpg											
2573420682	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012871.jpg											
2573420646	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014851.jpg											
2573420632	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012707.jpg											
2573420628	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012954.jpg											
2573420567	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013804.jpg											
2573420515	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011287.jpg											
2573420510	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014547.jpg											
2573420468	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014620.jpg											
2573420444	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013812.jpg											
2573420397	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01007/01007806.jpg											
2573420348	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013820.jpg											
2573420344	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012202.jpg											
2573420327	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012970.jpg											
2573420290	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013499.jpg											
2573420283	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013515.jpg											
2573420256	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014000.jpg											
2573420245	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012772.jpg											
2573420219	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014604.jpg											
2573420181	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011337.jpg											
2573420171	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012731.jpg											
2573420159	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014042.jpg											
2573420158	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011493.jpg											
2573420156	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013507.jpg											
2573420147	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012988.jpg											
2573420137	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012541.jpg											
2573420111	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014828.jpg											
2573420110	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012715.jpg											
2573420109	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012798.jpg											
2573420097	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012566.jpg											
2573420029	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012640.jpg											
2573420028	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012764.jpg											
2573420008	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014448.jpg											
